datavision,datavision is a reporting tool similar to crystal reports. dv supports many data sources (jdbc  files) and many output formats (html  xml  pdf  latex  excel  delimited files  docbook). dv includes a gui editor. dv is embeddable. reports are xml-based.,front-ends
isql-viewer,isql(independentsql)-viewer is a jdbc 2.0-compliant application that is designed to exploit jdbc features for all compliant drivers. support for interactive transactions  running batches  schema viewing  and support for various import and export filters.,front-ends
limbas,like access  from basic features such as table management  form and report generator as well as charting and workflow features it can be dynamically modeled with one another to any product solution. limbas is based on php.,front-ends
imdbpy,python package to retrieve and manage data of the imdb,front-ends
schemaspygui,schemaspygui is a graphical user interface for the tool schemaspy from john currier. it is java-based and sits on top of schemaspy. it provides a graphical interface for those of us which appreciate the comfort of windows/mouse based applications.,front-ends
easy sql,eclipse sql plug-in.  contains sql editor and executor.  table editor  data retrieve and migration tools.  plug-in has extensions to be used in other projects that need database connectivity.,front-ends
jpivot - a jsp based olap client,jpivot is a jsp custom tag library that renders an olap table and chart. users can perform typical olap navigations like drill down  slice and dice. it uses mondrian and xmla as its olap engines.,front-ends
openerp,insignis openerp is driven by the urge to create a multi-layered  platform and programming language independent environment for the development of database driven custom made business applications  all within a 'standard' application environment.,front-ends
haredb hbase client,gui tools for hbase (including pig and high speed hive query),front-ends
jamon api,jamon api is a free  simple  high performance  thread safe  java api that allows developers to easily monitor the performance and scalability of production applications. jamon tracks hits  execution times (total  avg  min  max  std dev)  and more.,front-ends
an open source knowledge base system,an open source  web based  platform independent knowledge base system.,front-ends
odbc query tool,a windows application for connecting to and working with several different database systems  ranging from microsoft access to mysql  postgresql  oracle  sql server  sqlite and more  using odbc drivers. written in powerbasic for windows 9.,front-ends
family connections,family connections is a private social networking website designed specifically for families to be as easy to use as possible. key features are: message board  photo gallery  family tree  calendar  blog  chat room  address book and more.,front-ends
library to read and write paradox files,this library allows to read and write paradox database and primary index files.,front-ends
coding analysis toolkit,the coding analysis toolkit (or "cat") consists of a asp.net based suite of tools to facilitate efficient and effective analysis of text datasets that have been coded using the cat coding module or atlas.ti.,front-ends
web-based squirrel sql client,web-based squirrel sql client. it allow you to view database structure  import/export and manage your databases  including create database  table  store procedure  view trigger and user. it support oracle  db2  mysql  ms sql server  firebird postgres,front-ends
technology explorer for ibm db2,the technology explorer for ibm db2 is a light weight  web based console for db2 that helps you learn about db2 using demonstrations and tutorials. the te is designed from the ground up to be easy to use and customize to suit your needs.,front-ends
ibwebadmin,ibwebadmin is a web-based admin tool for interbase/firebird. it will support all features offered by interbase and sql. most things are done (databases  tables  domains  generators  triggers  indices  users  csv  browse/edit tables)  some are left to do.,front-ends
nubuilder,nubuilderpro is a cloud database builder.,front-ends
mysql, oracle, postgre db query browser,lightweight tool for connect to mysql  oracle 11g and postgresql db.,front-ends
mssql compressed backup,mssql compressed backup compresses sql server 2000  2005 and 2008 databases on the fly using bzip2  zip  or gzip compression. it saves the data in the standard sql server backup file format so that standard decompression and restoring tools can be us,front-ends
sqltools++ for oracle,sqltools++ is a spin-off of the original sqltools for oracle. like the original sqltools sqltools++ is a light weight and robust windows gui sql frontend for oracle databases. it works with oracle 7.3/8/8i/9i/10g and 11g. note: oracle client required,front-ends
sql server service manager,sql server service manager (32 bits and 64 bits) for ms sql 2005 and 2008 : discovers local sql instances & services  manages starting/pausing/stopping sql services  manages auto-startup service  icon tray. supports windows xp / vista / 7 2003 / 2008,front-ends
mysql backup tool,backup tool for mysql to automatically / manually create sql dump files  for data  table structure  functions and stored procs. can run via the task manager for backups on a regular base. backup can be zipped with a password and saved on a server.,front-ends
pigeon planner,organise and manage your pigeons,front-ends
apatar data integration/etl,apatar is an open source extract  transform  and load (etl) project. modular architecture delivers 1. visual job designer/mapping 2. connectivity to all major data sources 3. flexible deployment options (gui  or server engine with jvm  or embedded).,front-ends
myoledb,myoledb is an oledb driver for mysql.,front-ends
aubit 4gl,"aubit 4gl" is a project to make gpl  opensource  informix-4gl compatible compiler  and continue to extend functionality needed to write most efficient and productive business related  database oriented applications. see "home page" link for more.,front-ends
phpdhcpadmin,manage your isc dhcpd service,front-ends
helenos,web based gui tool to manage your data stored in apache cassandra,front-ends
php db form creator,php scripts to help manage a html form to admin data in mysql. with only some lines of php code you get a html form. features: easy management  customizations  drop down lists easy  and others.,front-ends
litesql c++ object persistence framework,litesql is a codegenerator and c++ library that integrates c++ objects tightly to relational database and thus provides an object persistence layer. litesql supports sqlite3  postgresql  mysql and oracle as backends.,front-ends
tktable / tile / vu,tktable is a full-featured 2d table widget for tk.  it supports images  embedded windows  varying colors and fonts  and more. also here is vu  a tk widget extension that includes a pie  dial  spinbox and more  and tile  a themed widget set for tk.,front-ends
hbase manager,a simple gui interface to hbase database,front-ends
bumblebee instrument management system,equipment/instrumentation booking and usage accounting system. designed primarily for use in academic laboratories where a number of users share a set of instruments (e.g. nmr machines  microscopes  fume hoods).,front-ends
coolsql,coolsql is a free database client software. it is better for people who develop applications related to database and manage database. coolsql is written by java  so it can run on the platform where installed the java runtime environment (1.5 or above).,front-ends
sqlline,command-line utility for issuing sql to relational databases via the jdbc api,front-ends
php wine inventory management system,phpwims is a complete and precise wine inventory management system with an easy-to-use php web interface.,front-ends
benchmarksql,an easy to use jdbc benchmark that closely resembles the tpc-c standard for oltp.   rdbms's presently supported include postgresql  enterprisedb and oracle.,front-ends
online airline booking system,oabs is a complete online airline booking system secure and free in php and mysql,front-ends
ibpp, a c++ api for firebird server,ibpp is a c++ client class library for firebirdsql,front-ends
phpaddedit form generator,phpaddedit is an easy to use  feature rich  menu-driven script that will allow you to generate forms to add and edit content in a mysql database. unlike other similar scripts out there  phpaddedit allows your forms to handle multiple tables.,front-ends
xinq - xml inquiry,xinq - the xml archive inquirytool. this software generates a web-based search and browse interface for arbitrary xml content based on a configuation file which describes the structure and semantics for the content and rules for search  browse and displa,front-ends
atmail open,atmail is an open source webmail client written in php. we aim to provide a elegant ajax webmail client for existing imap mailservers  with less bloat and a focus on an intuitive  simple user interface.,front-ends
jdbc tester,jdbc tester is a software that allows to prove jdbc connections and sql statements. the central idea  is to have a software that is used for the design of statements and learning sql with an graphical user interface simple to use.,front-ends
hibernate pojo generator,hibernate pojo generator generates all the java code necessary to access a database via hibernate annotations (+ spring) including junit tests (1 per table) that are able to run immediately without further customizations. mostly tested with mysql.  moved to github: https://github.com/wwadge/hbnpojogen,front-ends
realestate management system,it is developing for the listing of properties in the web with highly secured and much more option. this website can be used by buyer seller room partner paying guest etc. simple graphic highly technical. you can join this project if you are intrested,front-ends
gqlplus,gqlplus is a front-end for oracle program sqlplus with command-line editing  history  table-name and column-name completion. otherwise the user interface is identical to that of sqlplus. command-line editing works as in bash/tcsh shells.,front-ends
java library management system,the java library management system is designed to help simplify the task of managing a physical library (as opposed to software libraries)  consisting of individual inventory items such as books  tapes  optical media  etc.,front-ends
open faculty evaluation system,php/mysql based faculty evaluation system,front-ends
vvvp (virtual volumes view photoedition),catalogs photographs  both in removable devices and in hard disks at the same time. images can also be arranged in a single  virtual file system. each folder of this file system can contain images from many disks.,front-ends
informixdb,informixdb is a python extension module that allows python scripts to connect to an ibm informix database engine.,front-ends
monoql - mysql admin & mysql query tool,monoql is an ajax web application to manage mysql databases. monoql will provide all major features of phpmyadmin for mysql  including database & table design  data browsing & editing  advanced querying & more. mysql 4+  mysql 5+ and mysql 6+ support,front-ends
gq ldap client,gq is an ldap client based on gtk+/gtk2,front-ends
inventory management system,a simple inventory system for library  lab & any rent shop.,front-ends
hsqldb manager,the hsqldbmanager is a tool to manage hsql databases. it should look & feel similar to known db-managers (phpmyadmin  dbvisualiser...).,front-ends
libdbi drivers,the libdbi-drivers project maintains drivers for the libdbi database abstraction layer written in c. drivers are distributed seperately from the library itself.,front-ends
science lab inventory & order management,science laboratory inventory and order management system,front-ends
witool : web sql injection tool,sql db injector  oracle  sql server by windows .net(2.0),front-ends
korreio,korreio is gui to mail systems management based on ldap  cyrus and postfix. its has some integrated modules: a ldap manager  cyrus-imap mailbox (cyradm replacement)  cyrus-imap partition manager (report-like)  sieve manager  postfix queue manager.,front-ends
everything development engine,the everything development engine is yet another web content management system that uses apache mod_perl and mysql to move blocks of text/html around. it is used on everything2.com  perlmonks.org  and animefu.com.,front-ends
modscaleform,modscaleform is a module für ms access that scales forms  fonts and controls to fit the current screen resolution. now one single form fits each possible resolution! .) scale forms at opening or loading .) scale controls and fonts at resizing,front-ends
annada event management software,event management software for event planners/wedding planners. several sub-components of events are tracked: budgets  clients  places  organizers  vendors  invitations  rsvps  checklists. the admin (non-public) section contains this functionality.,front-ends
hospital os,hospital os is a hospital information system for small-sized hospitals (100 beds or less  200 out-patients per day or less).  hospital os was developed for the healthcare system of thailand targeting its small community hospitals nation-wide.,front-ends
microsoft mdb file reader and writer,this application is useful for those who doesn't have microsoft access installed but want to read and write mdb file. it is easy to use.,front-ends
cute, cooled universal asp table editor,odbc/jet database editor  web interface based  intended for complete on-line management of microsoft access databases. cute tries to increase functionality and performance of universal table editor by tom wellige  an ado database editor.,front-ends
datalog educational system,deductive database with datalog  relational algebra and sql,front-ends
ezradius,freeradius and chillispot web-based management apps. the main aim is to provide radius server or hotspot administrator a simple web-based management application. freeradius must configured to use mysql as backend.,front-ends
amplop (d/h. dapodikeditor),aplikasi biasa di luarnya  di luarnya biasa  di luar biasanya,front-ends
database converter,a generic metadata  data  and progam migration tool for various databases. create  review  and modify migration defition with/without database connectivity. execute database migration or generate relevant sql and data files as per user choice.,front-ends
free sqlexplorer,free sqlexplorer is a front end towards all databases that can be accessed using ado. it's developed in delphi with ado- and jedivcl-components.,front-ends
sqlite micro manager,simplest sqlite3 gui program,front-ends
clipper/xbase compatible compiler,clipper/xbase compatible compiler with initial support other xbase dialects. multitasking  oop six/comix  sql and odbc drivers a c-api for third-party developers  a few wrappers for popular libraries (such as bzip  gzip  gd  crypto  and fcgi)  ....,front-ends
jedi database desktop,jedi database desktop replaces and extends borlands database desktop  which is not free. the goal of this project is to implement the functions of the original database desktop and add some useful features. the application is written in delphi 6 / kylix.,front-ends
sigma ajax data grid view,written in pure javascript  sigma grid is an ajax data grid for displaying and inline editing data in a scrollable and sortable table. seamless integration with any server side solution  such as j2ee  .net  php  perl . inline editing  keyboard data navig,front-ends
paradox dataset for lazarus and delphi,dataset paradox component for lazarus and delphi,front-ends
dbase reader and converter,!!! no longer maintained !!!,front-ends
ark,ark (archaeological recording kit) is a toolkit for collection  storage and dissemination of archaeological data. it has been developed by l - p : archaeology to aid site directors to build their own customised archaeological recording system.,front-ends
xquerybrowser,a simple query browser that lets connect to multiple dbms like mysql  oracle  etc. un simple navegador de consultas capas de conectarse a múltiples sgbd como mysql  oracle  etc.,front-ends
sqlmetal builder,this tool provides user interface for command-line tool sqlmetal which can generate code and mapping for the linq to sql component of the .net framework.,front-ends
hbaseexplorer,ui to the hadoop hbase project,front-ends
freesql,free tool for query database,front-ends
openlink ajax toolkit,oat  openlink ajax tools  is a javascript framework for building rich browser-based user interfaces using xml/a to connect to databases.,front-ends
sql to java code generator,sql2java is a simple  pragmatic and powerful code generator. it maps any relational schema to a java api dedicated to  access your database schema.  it supports oracle  sqlserver  postgresql  mysql  sybase  hsql  etc... 2 minutes to install/try...,front-ends
ourxdbu,ourxdbu is a public aplication to manage diferents database formats dbf  db  xls  xlsx  mdb  leto  sql server  mysql  and others is possible to make relations with diferents formats etc...,front-ends
extractdata,extractdata is a program which scans your files  looking for specific types of data to isolate and extract. extract lists of email addresses  person names  addresses and other kinds of data types from multiple files in a single pass.,front-ends
mysql-admin,mysql-admin is a simple php based administration tool for mysql databases. mysql-admin is easy to handle and provides a wide range of functions  like functions to edit datasets  tablestructure  tables  to import or export content  ...,front-ends
grocery list,web (php) based grocery list generating software that supports barcode scanning. the list is maintained in a database with remote tools for adding  editing  deleting  and printing.,front-ends
the gnu recipe database,a simple database to store recipes  written in php and mysql.,front-ends
oracle dump viewer,oracle dump tools,front-ends
panda-sql,panda-sql is a browser and an sql/plsql  editor for oracle  mysql  mssql  postgresql,front-ends
flat file checker,a simple to use but powerful tool for flat file validation. flafi can find data errors in the batch of flat files basing on the schema(xml) that defines business rules. it can be used for data exchange screening and data validation.,front-ends
ors - on-line resource scheduler,ors (on-line resource scheduler) is a full featured web interface for scheduling resources (aircraft  boats  rooms  time-shares) by members of an organization. it provides a graphical interface  e-mail notification of changes and account administrati,front-ends
openbluelab.org,open blue lab is a rapid application development framework for building portal applications based on web 2.0.it is currently being used to develop a full web erp.widgets are dynamically populated (automatic data-aware)free of coding database interaction.,front-ends
apex simple kanban board,simple kanban board for application express.,front-ends
sqleonardo,sqleonardo is a powerful and easy-to-use tool that lets you query databases.,front-ends
planedisaster.net,planedisaster.net is a .net database front end for jetsql (microsoft access file format) and sqlite. in addition to basic database browsing and querying  it can create new jetsql and sqlite files as well as compact and repair jetsql databases. source cod,front-ends
database web admin,db web admin provides access to sql server through a web interface,front-ends
single web page to edit any mysql table,easily add a table editor for any table.,front-ends
dsn viewer,dsn viewer provides information for a given dsn such as the list of tables and their columns and indexes. it also allows to export this information into an html file or sql definitions.,front-ends
querycommander,sql editor  simular to the microsoft query analyzer  in a visual studio type of enviroment. querycommander includes features like intellisense  automatic comment header  xml-documentation  xml2data etc. 100% of all donations go to plan international.,front-ends
visual webgui professional studio,build html5 apps for web and mobile using your .net skills,front-ends
the black toolkit,rad tool and ide for php  jsp  asp  c++ and java swing,front-ends
firebird/interbase viewer/exporter,mutliple firebird/interbase databases browser/viewer and updater with own catalog,front-ends
gnu library management system,glibms is library management software developed using php and postgresql to automate the different activities carried out in the library.,front-ends
hsqldb plug-in for eclipse,the hsqldb plug-in embebs a hsqldb pure-java database server into the eclipse workbench for use as a data repository for java applications developed using the ide or for extending hsqldb itself,front-ends
quickload,utility to load excel files to database(mysql/oracle) with automatic creation of tables and columns. utility supports batch processing of multiple files.,front-ends
smart db,smartdb is an object oriented approach towards integrating sqlite database  like ms ado object  for c++/mfc projects. it acts as a wrapper for sqlite. you can open sqlite database into your program with just 3 lines of code. full source code available.,front-ends
haci - ip address administration,web based ipam tool,front-ends
mytools.net,free software for mysql servers and databases management.,front-ends
encuestame web survey tool,open source web survey software social tool,front-ends
open web studio,start building rich internet applications rapidly. openwebstudio (ows) is a robust tool for building data bound forms  modules  utilities and more. anyone  anywhere can create bullet proof solutions quickly.,front-ends
sqlite control center,sqlite control center is a visual tool for working with sqlite database files.,front-ends
ylife : yu-gi-oh! life,ylife aims to be the firefox of yu-gi-oh!. very user-friendly and useful for duellists/players/collectionners of yu-gi-oh! trading card game. it is based on modules : card explorer  deck builder ... it is powered by ycd : yu-gi-oh! card database.,front-ends
marathon,marathon - the sql tool for firebird & interbase  is a feature-rich  client or server-side based gui development tool for all firebird and interbase database objects like tables  triggers  stored procedures  etc..,front-ends
reverse snowflake joins,a tool that parses sql select statements and generates a diagram. the diagram shows parts of the underlying sql directly in the diagram. for example x=30   group by (year)  having min(age) > 18. it is easy to see cartesian joins and/or loops.,front-ends
mysql navigator,mysql navigator is mysql dbms gui.,front-ends
direct sql - delphi,cross-platform (windows+linux) delphi/kylix native components for directly accesing mysql servers (without using any externall dll's).,front-ends
ado.net drivers for mysql and postgresql,fully managed ado.net drivers for mysql and postgresql,front-ends
astres,php powerfull help-desk web software,front-ends
examination results explorer,ere-the examination results explorer is an advanced web application basically designed to give the students of a school  and the school faculty  access to a detailed and analytical view of their examination results (technologies:php mysql javascript),front-ends
php mssql server admin - query analyzer,you can admin a sql server with php  like phpmyadmin for mysql,front-ends
db browser,dbbrowser is an open source (gpl license)  cross-platform tool which can be used to view the contents of a database. it works with oracle and mysql. the user can view  modify  delete records without writing sql.,front-ends
mongoz - mongodb desktop client,multi-platform mongodb desktop client,front-ends
unified interbase,moved moved moved https://github.com/hgourvest/uib https://github.com/hgourvest/uib https://github.com/hgourvest/uib https://github.com/hgourvest/uib https://github.com/hgourvest/uib,front-ends
本生理财 benson bank cms,本生理财: 免费的个人财富管理系统--本生理财是一个很好用的个人理财工具。小巧玲珑而又功能强大。也可用于中小企业或个人用户的财务管理。cash management system - please download via topnew.net/bank,front-ends
dbwarden for sql server,comprehensive database monitoring solution for sql server 2005+,front-ends
handy application maker,software development tools design for both veteran programmer or novice. goto http://happmaker.sf.net for details,front-ends
oracle pl/sql code editor,oracle pl/sql code editor. allows you to connect to any oracle database  browse the database objects and edit and debug pl/sql code with syntax highlighting. the main focus is for it to be some kind of a pl/sql ide  free to download  use  modify!,front-ends
videodb,videodb is a database to manage your personal video collection. it uses php and mysql and features fetching movie data from the internet movie database (imdb).  videodb has now moved to its new home at http://github.com/andig/videodb,front-ends
xui ria framework,xui is a java and xml ria platform for building smart app's. swing  awt and other widget sets can be used on a range of hardware. xui's modular framework can help many aspects of application development. netbeans and eclipse are available.,front-ends
open tournament system,its a full tournament engine that supports modular additions of new tournament types. it features team single  and draft tournaments. engine is entirely coded in php 4.x.,front-ends
project aristotle,project aristotle (formerly the identity governance framework (idgov) project) is an openliberty.org project that enables developers writing applications using identity-related information to access information in a multi-protocol environment supported.,front-ends
gnavi: gnu ada visual interface,gnavi: the gnu ada visual interface.,front-ends
jcr browser,a handy apache2 licensed eclipse based tool to display and search (not to edit) the content of a jsr 170 ( see: http://www.jcp.org ) compliant java content repository. it is stable and supported since 2006. it does not support jackrabbit 2.0.,front-ends
custom: pos, accounts, stock management,custom provides small to medium sized businesses  that buy and sell goods  with:  - an e-commerce front-end for their customers - access to anti-fraud protected credit card verification - a point-of-sale front-end for the shop floor - account report,front-ends
