tag,pair,co-frequency,tag-rate(co-frequency/tag),pair-rate(co-frequency/pair)
system,ceph,14,0.014941302,0.6086956
development,sonar,6,0.006403415,0.6
networking,cisco,6,0.006403415,0.6
system,snmpd,6,0.006403415,0.6
java,openjdk,9,0.009605123,0.6
system,bootstrap,24,0.02561366,0.6
tomcat,tomcat6,6,0.006403415,0.6
monitoring,newrelic,45,0.048025616,0.59210527
sa,ide,10,0.010672359,0.5882353
cloud,openstack,37,0.039487727,0.5873016
windows,powershell,17,0.01814301,0.5862069
rax,gce,7,0.007470651,0.5833333
ec2,gce,7,0.007470651,0.5833333
web,ghost,7,0.007470651,0.5833333
development,nvm,11,0.011739595,0.57894737
development,virtualenv,8,0.008537887,0.5714286
development,rbenv,24,0.02561366,0.5714286
graphite,carbon,8,0.008537887,0.5714286
development,drush,13,0.013874066,0.5652174
system,common,58,0.06189968,0.5631068
oracle,middleware,9,0.009605123,0.5625
java,middleware,9,0.009605123,0.5625
elasticsearch,elastic,9,0.009605123,0.5625
dhcp,dhcpd,9,0.009605123,0.5625
subversion,svn,9,0.009605123,0.5625
system,networking,341,0.36392742,0.56085527
docker,container,19,0.020277482,0.5588235
database,mongodb,53,0.0565635,0.55789477
augeas,utilities,15,0.016008537,0.5555556
nagios,nrpe,25,0.026680896,0.5555556
system,groups,11,0.011739595,0.55
agent,dynatrace,11,0.011739595,0.55
development,zeromq,6,0.006403415,0.54545456
development,mailhog,6,0.006403415,0.54545456
consul,template,6,0.006403415,0.54545456
apt,apticron,6,0.006403415,0.54545456
system,deps,6,0.006403415,0.54545456
system,and,6,0.006403415,0.54545456
system,mailhog,6,0.006403415,0.54545456
ssl,https,6,0.006403415,0.54545456
ssl,certs,6,0.006403415,0.54545456
system,config,19,0.020277482,0.54285717
web,letsencrypt,13,0.013874066,0.5416667
development,pyenv,7,0.007470651,0.53846157
system,glusterfs,7,0.007470651,0.53846157
gentoo,archlinux,7,0.007470651,0.53846157
database,postgresql,65,0.06937033,0.5371901
nosql,mongodb,51,0.05442903,0.5368421
system,galaxy,15,0.016008537,0.53571427
development,slack,8,0.008537887,0.53333336
monitoring,monitor,8,0.008537887,0.53333336
cloud,nova,8,0.008537887,0.53333336
development,openjdk,8,0.008537887,0.53333336
drupal,drupsible,8,0.008537887,0.53333336
system,azure,8,0.008537887,0.53333336
development,openapphack,9,0.009605123,0.5294118
server,ontic,9,0.009605123,0.5294118
system,ontic,9,0.009605123,0.5294118
networking,ufw,9,0.009605123,0.5294118
repo,remi,10,0.010672359,0.5263158
monitoring,sensu,10,0.010672359,0.5263158
dns,bind,22,0.02347919,0.52380955
system,time,13,0.013874066,0.52
web,apache2,13,0.013874066,0.52
packaging,packer,16,0.017075773,0.516129
cloud,packer,16,0.017075773,0.516129
system,packer,16,0.017075773,0.516129
system,zsh,17,0.01814301,0.5151515
monitoring,monit,20,0.021344718,0.51282054
database,mariadb,34,0.03628602,0.5074627
system,ntp,58,0.06189968,0.5043478
packaging,virtualenv,7,0.007470651,0.5
development,jvm,8,0.008537887,0.5
database,replication,6,0.006403415,0.5
cloud,cloudwatch,6,0.006403415,0.5
cloud,neutron,9,0.009605123,0.5
cloud,awscli,7,0.007470651,0.5
monitoring,plugin,8,0.008537887,0.5
aws,cloudwatch,6,0.006403415,0.5
oracle,jdk,18,0.019210245,0.5
system,packaging,249,0.26574174,0.5
system,webserver,15,0.016008537,0.5
networking,vsftpd,8,0.008537887,0.5
monitoring,check,7,0.007470651,0.5
system,eucalyptus,6,0.006403415,0.5
ssl,certificate,8,0.008537887,0.5
system,graylog,6,0.006403415,0.5
system,locales,8,0.008537887,0.5
users,groups,10,0.010672359,0.5
web,php5,13,0.013874066,0.5
mail,sendmail,7,0.007470651,0.5
network,interfaces,8,0.008537887,0.5
web,installer,27,0.028815368,0.5
bootstrap,coreos,6,0.006403415,0.5
web,phantomjs,6,0.006403415,0.5
ruby,gem,8,0.008537887,0.5
mysql,db,8,0.008537887,0.5
yum,rpm,12,0.01280683,0.5
group,account,9,0.009605123,0.5
windows,microsoft,7,0.007470651,0.5
deploy,project,6,0.006403415,0.5
web,nginx,132,0.14087513,0.4888889
web,composer,32,0.034151547,0.4848485
system,pip,14,0.014941302,0.4827586
monitoring,metrics,12,0.01280683,0.48
web,drush,11,0.011739595,0.47826087
web,varnish,20,0.021344718,0.47619048
git,gitolite,10,0.010672359,0.47619048
system,swap,9,0.009605123,0.47368422
system,upstart,9,0.009605123,0.47368422
web,nvm,9,0.009605123,0.47368422
packaging,repo,35,0.037353255,0.47297296
system,jdk,17,0.01814301,0.4722222
development,gitlab,25,0.026680896,0.4716981
packaging,epel,24,0.02561366,0.47058824
development,xdebug,8,0.008537887,0.47058824
system,openapphack,8,0.008537887,0.47058824
graphite,statsd,8,0.008537887,0.47058824
database,percona,23,0.024546424,0.46938777
java,oracle,38,0.040554963,0.4691358
development,webserver,14,0.014941302,0.46666667
aws,s3,7,0.007470651,0.46666667
web,openjdk,7,0.007470651,0.46666667
php,drupsible,7,0.007470651,0.46666667
web,uwsgi,13,0.013874066,0.4642857
ssh,openssh,19,0.020277482,0.46341464
system,openssh,19,0.020277482,0.46341464
security,audit,6,0.006403415,0.46153846
elixir,stack,6,0.006403415,0.46153846
pam,access,6,0.006403415,0.46153846
system,files,6,0.006403415,0.46153846
subversion,vcs,6,0.006403415,0.46153846
development,stack,6,0.006403415,0.46153846
suse,opensuse,6,0.006403415,0.46153846
environment,env,6,0.006403415,0.46153846
vim,editor,12,0.01280683,0.46153846
system,timezone,24,0.02561366,0.46153846
web,hhvm,6,0.006403415,0.46153846
nodejs,npm,12,0.01280683,0.46153846
mail,smtp,6,0.006403415,0.46153846
ldap,openldap,9,0.009605123,0.45
apt,ng,9,0.009605123,0.45
system,auth,9,0.009605123,0.45
docker,systemd,9,0.009605123,0.45
database,mysql,101,0.10779082,0.4488889
system,cloud,204,0.21771611,0.44541484
monitoring,nrpe,20,0.021344718,0.44444445
development,pecl,8,0.008537887,0.44444445
system,logs,8,0.008537887,0.44444445
mcollective,activemq,12,0.01280683,0.44444445
development,elixir,11,0.011739595,0.44
system,elixir,11,0.011739595,0.44
ssh,key,11,0.011739595,0.44
networking,interfaces,7,0.007470651,0.4375
jdk,jvm,7,0.007470651,0.4375
development,compose,7,0.007470651,0.4375
system,interfaces,7,0.007470651,0.4375
system,unicorn,7,0.007470651,0.4375
system,homebrew,14,0.014941302,0.4375
web,php,164,0.17502668,0.43617022
monitoring,grafana,17,0.01814301,0.43589744
system,monit,17,0.01814301,0.43589744
server,webserver,13,0.013874066,0.43333334
networking,eos,13,0.013874066,0.43333334
user,group,13,0.013874066,0.43333334
web,drupal,19,0.020277482,0.4318182
database,postgres,15,0.016008537,0.42857143
development,rax,9,0.009605123,0.42857143
database,mongo,15,0.016008537,0.42857143
database,galera,9,0.009605123,0.42857143
ldap,authentication,9,0.009605123,0.42857143
networking,chat,6,0.006403415,0.42857143
system,rax,9,0.009605123,0.42857143
mariadb,galera,9,0.009605123,0.42857143
mail,exim,6,0.006403415,0.42857143
kvm,libvirt,6,0.006403415,0.42857143
web,wordpress,24,0.02561366,0.42857143
virtualization,libvirt,6,0.006403415,0.42857143
firewall,iptables,23,0.024546424,0.42592594
system,fail2ban,17,0.01814301,0.425
system,clustering,50,0.053361792,0.42016807
monitoring,elk,15,0.016008537,0.41666666
monitoring,agent,52,0.055496264,0.416
monitoring,zabbix,42,0.044823907,0.41584158
aws,amazon,14,0.014941302,0.4117647
monitoring,statsd,7,0.007470651,0.4117647
java,ide,7,0.007470651,0.4117647
keys,authorized,7,0.007470651,0.4117647
dev,ide,7,0.007470651,0.4117647
system,tmux,7,0.007470651,0.4117647
web,phpmyadmin,7,0.007470651,0.4117647
key,authorized,7,0.007470651,0.4117647
development,installer,22,0.02347919,0.4074074
web,haproxy,24,0.02561366,0.40677965
system,user,27,0.028815368,0.40298507
jdk,openjdk,6,0.006403415,0.4
monitoring,fluentd,8,0.008537887,0.4
ssl,openssl,8,0.008537887,0.4
system,sshd,18,0.019210245,0.4
automation,slack,6,0.006403415,0.4
nosql,mongo,14,0.014941302,0.4
development,jenkins,41,0.04375667,0.39805827
system,monitoring,284,0.30309498,0.39280775
monitoring,graphite,25,0.026680896,0.390625
system,mail,25,0.026680896,0.390625
system,ansible,51,0.05442903,0.38931298
docker,provision,7,0.007470651,0.3888889
system,automation,14,0.014941302,0.3888889
mysql,percona,19,0.020277482,0.3877551
development,rvm,10,0.010672359,0.3846154
node,npm,10,0.010672359,0.3846154
web,memcached,20,0.021344718,0.3846154
database,influxdb,18,0.019210245,0.38297874
security,tls,8,0.008537887,0.3809524
puppet,module,8,0.008537887,0.3809524
monitoring,icinga,8,0.008537887,0.3809524
system,setup,8,0.008537887,0.3809524
web,app,8,0.008537887,0.3809524
database,rax,8,0.008537887,0.3809524
ssh,sshd,17,0.01814301,0.37777779
development,packaging,188,0.20064034,0.37751004
web,gitlab,20,0.021344718,0.3773585
development,web,548,0.58484524,0.37689134
development,go,12,0.01280683,0.375
system,letsencrypt,9,0.009605123,0.375
openssl,certificate,6,0.006403415,0.375
system,compose,6,0.006403415,0.375
packages,jvm,6,0.006403415,0.375
web,middleware,6,0.006403415,0.375
rhel,rpm,9,0.009605123,0.375
windows,utility,6,0.006403415,0.375
cloud,aws,38,0.040554963,0.37254903
ansible,role,23,0.024546424,0.37096775
system,sudo,23,0.024546424,0.37096775
system,iptables,20,0.021344718,0.37037036
system,selinux,10,0.010672359,0.37037036
rhel,gentoo,10,0.010672359,0.37037036
web,fpm,17,0.01814301,0.36956522
development,nodejs,52,0.055496264,0.36879432
packaging,remi,7,0.007470651,0.36842105
monitoring,filebeat,7,0.007470651,0.36842105
packaging,nvm,7,0.007470651,0.36842105
system,filebeat,7,0.007470651,0.36842105
system,upgrade,7,0.007470651,0.36842105
supervisor,supervisord,8,0.008537887,0.36363637
web,lamp,8,0.008537887,0.36363637
development,ruby,67,0.0715048,0.36216217
cloud,clustering,43,0.045891143,0.36134455
development,automation,13,0.013874066,0.3611111
system,grafana,14,0.014941302,0.35897437
web,deploy,29,0.03094984,0.3580247
system,network,35,0.037353255,0.35714287
system,service,10,0.010672359,0.35714287
development,dotfiles,16,0.017075773,0.35555556
system,sudoers,11,0.011739595,0.3548387
database,phpmyadmin,6,0.006403415,0.3529412
system,munin,6,0.006403415,0.3529412
web,ontic,6,0.006403415,0.3529412
php,phpmyadmin,6,0.006403415,0.3529412
system,rsync,7,0.007470651,0.35
syslog,ng,7,0.007470651,0.35
system,application,15,0.016008537,0.3488372
packaging,composer,23,0.024546424,0.34848484
jenkins,azulinho,8,0.008537887,0.3478261
system,security,62,0.06616862,0.3463687
development,php5,9,0.009605123,0.34615386
monitoring,kibana,19,0.020277482,0.34545454
database,cluster,11,0.011739595,0.34375
sql,mariadb,23,0.024546424,0.3432836
development,build,15,0.016008537,0.3409091
monitoring,influxdb,16,0.017075773,0.34042552
web,nodejs,48,0.05122732,0.34042552
nodejs,node,18,0.019210245,0.33962265
system,client,23,0.024546424,0.3382353
system,ec2,36,0.03842049,0.3364486
system,development,557,0.59445035,0.33393285
development,jdk,12,0.01280683,0.33333334
security,hardening,7,0.007470651,0.33333334
puppet,dashboard,7,0.007470651,0.33333334
development,atlassian,7,0.007470651,0.33333334
networking,iptables,18,0.019210245,0.33333334
repo,epel,17,0.01814301,0.33333334
networking,openvpn,10,0.010672359,0.33333334
system,cron,11,0.011739595,0.33333334
system,dotfiles,15,0.016008537,0.33333334
sa,dev,10,0.010672359,0.33333334
java,jboss,13,0.013874066,0.33333334
system,provision,6,0.006403415,0.33333334
google,chrome,6,0.006403415,0.33333334
system,firewall,29,0.03094984,0.33333334
ec2,rax,7,0.007470651,0.33333334
web,passenger,11,0.011739595,0.33333334
nagios,icinga,7,0.007470651,0.33333334
web,django,6,0.006403415,0.33333334
nginx,passenger,11,0.011739595,0.33333334
sql,postgresql,40,0.042689435,0.3305785
development,python,35,0.037353255,0.3301887
system,packages,19,0.020277482,0.3275862
yum,repository,12,0.01280683,0.3243243
sudo,sudoers,10,0.010672359,0.32258064
packaging,galaxy,9,0.009605123,0.32142857
database,redis,45,0.048025616,0.32142857
networking,dnsmasq,9,0.009605123,0.32142857
system,dnsmasq,9,0.009605123,0.32142857
web,elixir,8,0.008537887,0.32
database,elasticsearch,47,0.050160084,0.3197279
monitoring,supervisord,7,0.007470651,0.3181818
system,mount,7,0.007470651,0.3181818
system,net,7,0.007470651,0.3181818
php,lamp,7,0.007470651,0.3181818
networking,openssh,13,0.013874066,0.31707317
development,registry,6,0.006403415,0.31578946
development,golang,11,0.011739595,0.31428573
deploy,deployment,11,0.011739595,0.31428573
system,vagrant,16,0.017075773,0.3137255
packaging,homebrew,10,0.010672359,0.3125
osx,homebrew,10,0.010672359,0.3125
git,github,10,0.010672359,0.3125
golang,go,10,0.010672359,0.3125
system,apt,39,0.0416222,0.312
development,npm,8,0.008537887,0.30769232
development,rails,12,0.01280683,0.30769232
fpm,php5,8,0.008537887,0.30769232
ruby,rvm,8,0.008537887,0.30769232
system,ssh,51,0.05442903,0.30722892
system,role,19,0.020277482,0.30645162
system,elk,11,0.011739595,0.30555555
system,supervisor,17,0.01814301,0.30357143
syslog,log,6,0.006403415,0.3
system,postfix,21,0.022411954,0.3
system,fluentd,6,0.006403415,0.3
web,httpd,6,0.006403415,0.3
system,hosts,16,0.017075773,0.2962963
web,apache,47,0.050160084,0.2955975
system,build,13,0.013874066,0.29545453
web,selenium,7,0.007470651,0.29166666
jenkins,ci,13,0.013874066,0.2888889
networking,sshd,13,0.013874066,0.2888889
system,haproxy,17,0.01814301,0.2881356
puppet,pe,6,0.006403415,0.2857143
development,erlang,8,0.008537887,0.2857143
development,config,10,0.010672359,0.2857143
system,hardening,6,0.006403415,0.2857143
backup,rsnapshot,6,0.006403415,0.2857143
nosql,redis,40,0.042689435,0.2857143
mongodb,mongo,10,0.010672359,0.2857143
system,app,6,0.006403415,0.2857143
ruby,rbenv,12,0.01280683,0.2857143
ec2,aws,29,0.03094984,0.28431374
monitoring,logging,13,0.013874066,0.2826087
development,homebrew,9,0.009605123,0.28125
system,github,9,0.009605123,0.28125
cloud,elixir,7,0.007470651,0.28
monitoring,elixir,7,0.007470651,0.28
packaging,packages,16,0.017075773,0.27586207
system,consul,16,0.017075773,0.27586207
web,owncloud,8,0.008537887,0.27586207
python,pip,8,0.008537887,0.27586207
networking,fail2ban,11,0.011739595,0.275
development,cli,14,0.014941302,0.27450982
system,limits,6,0.006403415,0.27272728
system,virtualbox,6,0.006403415,0.27272728
system,supervisord,6,0.006403415,0.27272728
development,virtualbox,6,0.006403415,0.27272728
php,drupal,12,0.01280683,0.27272728
nosql,elasticsearch,40,0.042689435,0.27210885
system,deploy,22,0.02347919,0.27160493
system,install,16,0.017075773,0.27118644
development,git,39,0.0416222,0.27083334
system,git,39,0.0416222,0.27083334
system,logstash,25,0.026680896,0.26881722
system,docker,94,0.10032017,0.26857144
development,ansible,35,0.037353255,0.26717559
system,collectd,8,0.008537887,0.26666668
java,dev,8,0.008537887,0.26666668
mysql,sql,46,0.049092848,0.26285714
system,rbenv,11,0.011739595,0.26190478
system,web,378,0.40341514,0.25997248
monitoring,consul,15,0.016008537,0.25862068
monitoring,logstash,24,0.02561366,0.2580645
php,composer,17,0.01814301,0.25757575
postgresql,postgres,9,0.009605123,0.25714287
system,rsyslog,10,0.010672359,0.25641027
web,rails,10,0.010672359,0.25641027
nosql,influxdb,12,0.01280683,0.25531915
system,python,27,0.028815368,0.254717
networking,haproxy,15,0.016008537,0.2542373
networking,letsencrypt,6,0.006403415,0.25
development,drupal,11,0.011739595,0.25
development,dnsmasq,7,0.007470651,0.25
repository,rpm,6,0.006403415,0.25
system,keys,8,0.008537887,0.25
mapr,test,9,0.009605123,0.25
development,php,93,0.09925293,0.24734043
web,proxy,17,0.01814301,0.24637681
development,node,13,0.013874066,0.24528302
repo,repository,9,0.009605123,0.24324325
packaging,jenkins,25,0.026680896,0.24271844
networking,firewall,21,0.022411954,0.2413793
cloud,owncloud,7,0.007470651,0.2413793
security,iptables,13,0.013874066,0.24074075
system,key,6,0.006403415,0.24
erlang,elixir,6,0.006403415,0.24
mysql,mariadb,16,0.017075773,0.23880596
networking,rabbitmq,9,0.009605123,0.23684211
rsyslog,syslog,9,0.009605123,0.23684211
system,nfs,13,0.013874066,0.23636363
system,motd,13,0.013874066,0.23636363
system,kibana,13,0.013874066,0.23636363
aws,cli,12,0.01280683,0.23529412
system,cli,12,0.01280683,0.23529412
dotfiles,shell,8,0.008537887,0.23529412
networking,network,23,0.024546424,0.23469388
postfix,mail,15,0.016008537,0.234375
system,server,48,0.05122732,0.23414634
development,osx,32,0.034151547,0.23357664
system,group,7,0.007470651,0.23333333
development,dev,7,0.007470651,0.23333333
web,supervisor,13,0.013874066,0.23214285
ruby,rails,9,0.009605123,0.23076923
system,php5,6,0.006403415,0.23076923
php,php5,6,0.006403415,0.23076923
sql,postgres,8,0.008537887,0.22857143
system,deployment,8,0.008537887,0.22857143
agent,zabbix,23,0.024546424,0.22772278
development,java,58,0.06189968,0.22745098
database,clustering,27,0.028815368,0.22689076
rhel,packer,7,0.007470651,0.22580644
security,ssl,13,0.013874066,0.22413793
development,oracle,18,0.019210245,0.22222222
development,maven,6,0.006403415,0.22222222
system,environment,6,0.006403415,0.22222222
system,update,6,0.006403415,0.22222222
system,management,6,0.006403415,0.22222222
database,zookeeper,10,0.010672359,0.22222222
packaging,jdk,8,0.008537887,0.22222222
web,tomcat,19,0.020277482,0.22093023
sshd,openssh,9,0.009605123,0.2195122
elasticsearch,kibana,12,0.01280683,0.21818182
web,kibana,12,0.01280683,0.21818182
nginx,proxy,15,0.016008537,0.2173913
apt,repository,8,0.008537887,0.21621622
development,vagrant,11,0.011739595,0.21568628
web,cli,11,0.011739595,0.21568628
development,uwsgi,6,0.006403415,0.21428572
web,galaxy,6,0.006403415,0.21428572
development,cloud,98,0.10458911,0.2139738
system,bash,7,0.007470651,0.21212122
database,memcached,11,0.011739595,0.21153846
system,memcached,11,0.011739595,0.21153846
system,vim,15,0.016008537,0.2112676
system,elasticsearch,31,0.03308431,0.21088435
php,newrelic,16,0.017075773,0.21052632
system,oracle,17,0.01814301,0.20987654
example42,application,9,0.009605123,0.20930232
system,tools,9,0.009605123,0.20930232
networking,dhcp,7,0.007470651,0.20588236
ec2,amazon,7,0.007470651,0.20588236
yum,repo,15,0.016008537,0.2027027
ssh,config,7,0.007470651,0.2
clustering,zookeeper,9,0.009605123,0.2
puppet,foreman,7,0.007470651,0.2
development,ci,9,0.009605123,0.2
system,newrelic,15,0.016008537,0.19736843
system,epel,10,0.010672359,0.19607843
php,cli,10,0.010672359,0.19607843
system,java,50,0.053361792,0.19607843
server,openssh,8,0.008537887,0.19512194
aws,automation,7,0.007470651,0.19444445
kibana,elk,7,0.007470651,0.19444445
cloud,automation,7,0.007470651,0.19444445
logstash,elk,7,0.007470651,0.19444445
web,cloud,89,0.094983995,0.19432314
web,packaging,95,0.101387404,0.19076306
system,osx,26,0.027748132,0.18978103
web,ssl,11,0.011739595,0.18965517
web,mail,12,0.01280683,0.1875
database,rabbitmq,7,0.007470651,0.18421052
clustering,rabbitmq,7,0.007470651,0.18421052
security,firewall,16,0.017075773,0.18390805
sql,percona,9,0.009605123,0.18367347
development,vim,13,0.013874066,0.18309858
ruby,passenger,6,0.006403415,0.18181819
ruby,build,8,0.008537887,0.18181819
development,solr,6,0.006403415,0.18181819
development,docker,63,0.06723586,0.18
monitoring,rsyslog,7,0.007470651,0.17948718
system,ruby,33,0.035218783,0.17837837
networking,ec2,19,0.020277482,0.17757009
system,nodejs,25,0.026680896,0.17730497
development,sql,31,0.03308431,0.17714286
system,shell,6,0.006403415,0.1764706
cloud,amazon,6,0.006403415,0.1764706
system,aws,18,0.019210245,0.1764706
system,dhcp,6,0.006403415,0.1764706
system,nginx,47,0.050160084,0.17407407
system,proxy,12,0.01280683,0.17391305
system,backup,12,0.01280683,0.17391305
logstash,logging,8,0.008537887,0.17391305
nginx,fpm,8,0.008537887,0.17391305
system,ssl,10,0.010672359,0.1724138
clustering,consul,10,0.010672359,0.1724138
application,deployment,6,0.006403415,0.17142858
tools,vmware,6,0.006403415,0.17142858
networking,hostname,7,0.007470651,0.17073171
networking,clustering,20,0.021344718,0.16806723
system,agent,21,0.022411954,0.168
development,composer,11,0.011739595,0.16666667
packaging,rbenv,7,0.007470651,0.16666667
networking,dns,15,0.016008537,0.16666667
networking,bind,7,0.007470651,0.16666667
web,rbenv,7,0.007470651,0.16666667
rhel,yum,18,0.019210245,0.16513762
web,networking,99,0.10565635,0.16282895
web,application,7,0.007470651,0.1627907
cli,application,7,0.007470651,0.1627907
elasticsearch,logstash,15,0.016008537,0.16129032
development,supervisor,9,0.009605123,0.16071428
system,mongodb,15,0.016008537,0.15789473
system,sysctl,6,0.006403415,0.15789473
system,rabbitmq,6,0.006403415,0.15789473
web,newrelic,12,0.01280683,0.15789473
logging,syslog,6,0.006403415,0.15789473
web,elasticsearch,23,0.024546424,0.15646258
